siteName,SLFL,year,Tmean,Tq50,Tq75,Tq95,Tmax
19-159 Reef,SL,2017,28.145615670918367,28.093183083333333,28.33055223611111,28.54496902083333,28.57569722222222
20-104 Reef,FL,2015,28.14091454856201,28.300922555555555,28.45699979861111,28.857754084375,29.22116828030303
20-104 Reef,FL,2016,28.30084562602459,28.366223986111113,28.656865975694444,29.221311978819443,29.426964770833333
20-104 Reef,FL,2017,28.59838633058449,28.65926397222222,28.76183840625,29.017289221875,29.09215136111111
21-062 Reef,FL,2016,27.678306891672914,27.872285209897157,28.109357585069446,28.258388289930554,28.365375194444443
21-062 Reef,FL,2017,28.045727526572545,28.451340395833334,28.68002445138889,28.95078690277778,29.126194909722223
21-062 Reef,FL,2018,27.309842513047137,27.875909302083333,28.02732199826389,28.197374515625,28.252146069444446
21-062 Reef,SL,2014,27.135011554407715,27.20433721527778,27.5247008125,27.712595770833335,27.810145875
21-062 Reef,SL,2015,28.06118940231864,28.113742944444443,28.32172975,28.75834988888889,28.913612583333332
21-062 Reef,SL,2016,27.96521060285117,28.048462253472223,28.30186300347222,28.68958665902778,29.04538842361111
21-062 Reef,SL,2017,28.010502553317263,28.420311979166666,28.660748784722223,28.87281717361111,29.0030480625
21-062 Reef,SL,2018,27.290186139520202,27.83152673263889,28.027863831597223,28.194024609375,28.235012833333332
21-139 Reef,FL,2016,27.78412055908132,27.926738319444446,28.232106536458332,28.550271461805558,28.62118645138889
21-139 Reef,FL,2017,27.889045375516528,28.255760444444444,28.557497076388888,28.987359006944445,29.139373194444445
21-139 Reef,FL,2018,27.22131342165242,27.74648851388889,27.971541043402777,28.195777641666666,28.348121729166667
21-139 Reef,SL,2014,27.185489772669882,27.151477958333334,27.548920506944444,27.8698783125,28.02041421527778
21-139 Reef,SL,2015,28.132215835055096,28.252997402777776,28.46910153472222,28.906941965277777,29.061580243055555
21-139 Reef,SL,2016,27.770517228980296,27.93317232638889,28.116849694444447,28.395009330902777,28.53408245138889
21-139 Reef,SL,2017,27.83519542332415,28.208328083333335,28.499872958333334,28.771253694444443,28.903502368055555
21-139 Reef,SL,2018,27.14350107309473,27.657466211805556,27.882278260416665,28.124775818402775,28.236696902777776
21-187 Reef,FL,2016,27.536637481596628,27.71806273611111,27.96467029861111,28.158302379166663,28.18474136111111
21-187 Reef,FL,2017,27.84093244651056,28.054074125,28.47163986111111,28.848359041666665,29.036197569444443
21-187 Reef,FL,2018,27.08974706746032,27.582949555555555,27.785723472222223,28.008337176388892,28.097629930555556
21-187 Reef,SL,2014,26.708714129820937,26.761460569444445,27.023739527777778,27.3142478125,27.544645854166667
21-187 Reef,SL,2015,27.73633894323921,27.788175381944445,28.059021479166667,28.41272934722222,28.625291104166667
21-187 Reef,SL,2016,27.70566529426221,27.844458440972222,28.067026822916667,28.228126546875,28.315963486111112
21-187 Reef,SL,2017,27.82901480486685,28.043270375,28.438985055555555,28.742862104166665,28.861326375
21-187 Reef,SL,2018,27.076285281024532,27.569970256944444,27.772416,27.98747275694444,28.08234140277778
21-245 Reef,FL,2016,27.770818673413483,27.82570673263889,28.124787642361113,28.380643547916662,28.479773895833333
21-245 Reef,FL,2017,28.042689024908174,28.3492241875,28.646275041666666,28.89765782638889,29.2408625625
21-245 Reef,FL,2018,27.44218203518136,27.481530347222222,27.84201675,28.169050340277778,28.384342826388888
21-245 Reef,FL,2019,27.172947439279156,27.190101263888888,27.449743041666668,27.863254534722223,28.043150729166666
21-245 Reef,SL,2012,27.65760930430328,27.822877739583333,28.315048498263884,28.519753903125,28.59835548611111
21-245 Reef,SL,2013,27.32603803001607,27.289003291666667,27.647747902777777,27.96892784027778,28.37461092361111
21-245 Reef,SL,2016,27.7491123610023,27.796205020833334,28.112180887152775,28.35416462534722,28.468497743055554
21-245 Reef,SL,2017,28.034382231749312,28.33081064583333,28.644304187499998,28.8782961875,29.069864020833332
21-245 Reef,SL,2018,27.454569284894397,27.498854819444446,27.84727361111111,28.158753597222223,28.3531683125
21-245 Reef,SL,2019,27.217496492596418,27.239450166666668,27.499340840277778,27.8799770625,28.012595506944443
